ID Moda,ID
28185,117715
28185,120828
71477,120828
28185,132348
16670,132348
82954,132348
28185,133802
129082,133802
129438,133802
15388,133802
27812,133802
28185,134699
44039,134699
18771,148397
25551,148397
28185,148397
16536,148397
172,148397
328,148397
472,148397
25379,148397
30389,148397
84631,148397
28185,152117
129082,152117
16670,152117
82954,152117
132348,152117
28185,154993
152117,154993
28185,156462
129082,156462
15388,156462
82954,156462
28185,156463
129082,156463
15388,156463
67013,156463
28185,157292
152117,157292
154993,157292
28185,159579
152117,159579
157292,159579
28185,166345
15388,166345
28185,167838
16670,167838
82954,167838
28185,169119
71477,169119
82954,169119
28185,177947
169119,177947
28185,178950
49910,178950
28185,183467
16670,183467
82954,183467
28185,183627
129082,183627
15388,183627
27812,183627
28185,197405
56455,197405
196894,197405
28185,206677
71477,206677
82954,206677
28185,209125
16670,209125
82954,209125
28185,209126
82954,209126
28185,221951
82954,221951
28185,232802
22640,232802
36657,232802
226796,232802
28185,238323
28185,248700
15388,248700
122172,248700
28185,248701
15388,248701
134699,248701
28185,255494
15388,255494
28185,256559
28185,262862
248206,262862
28185,272276
227881,272276
49910,272276
178950,272276
28185,291721
51364,291721
160514,291721
28185,311265
129082,311265
27812,311265
28185,311483
129082,311483
28185,312314
129082,312314
209126,312314
28185,312340
255494,312340
24541,316974
18771,316974
38542,316974
102069,316974
116526,316974
28195,316974
48851,316974
28185,316974
25392,316974
18462,316974
58603,316974
76185,316974
37292,316974
51364,316974
19879,316974
16536,316974
19946,316974
32031,316974
16092,316974
22268,316974
277,316974
328,316974
365,316974
381,316974
389,316974
460,316974
464,316974
8476,316974
554,316974
589,316974
638,316974
692,316974
790,316974
16331,316974
31692,316974
38621,316974
41170,316974
42701,316974
42924,316974
48163,316974
51323,316974
54254,316974
55190,316974
55192,316974
55556,316974
60016,316974
60039,316974
61920,316974
65629,316974
68137,316974
69045,316974
71552,316974
72946,316974
73707,316974
74031,316974
75465,316974
81258,316974
91229,316974
94385,316974
97698,316974
102049,316974
104875,316974
112978,316974
117467,316974
119822,316974
123956,316974
124231,316974
130522,316974
136125,316974
136187,316974
138931,316974
147502,316974
160781,316974
192132,316974
200638,316974
204228,316974
221222,316974
235275,316974
238340,316974
259940,316974
262612,316974
263690,316974
263691,316974
268322,316974
269309,316974
272266,316974
287368,316974
305179,316974
305262,316974
305347,316974
305349,316974
305361,316974
308367,316974
310241,316974
310721,316974
310722,316974
311551,316974
311551,316974
314042,316974
28185,321925
82954,321925
28185,352738
16536,352738
261703,352738
28185,352738
16536,352738
261703,352738
28185,355760
16670,355760
82954,355760
